Date,Price,Open,High,Low,Change %
2022-04-12,55.25,54.81,57.2,54.55,0.80%
2022-04-11,54.81,57.38,57.56,52.96,3.14%
2022-04-08,53.14,54.23,55.54,52.73,-2.01%
2022-04-07,54.23,53.15,56.17,52.24,2.03%
2022-04-06,53.15,53.8,55.64,51.96,-1.21%
2022-04-05,53.8,54.31,56.59,51.85,-0.94%
2022-04-04,54.31,56.29,56.74,53.72,-0.09%
2022-04-01,54.36,57.66,57.71,53.58,-5.72%
2022-03-31,57.66,61.04,62.43,56.23,-5.54%
2022-03-30,61.04,62.46,64.55,60.88,-2.27%
2022-03-29,62.46,67.04,67.04,62.31,-6.83%
2022-03-28,67.04,70.73,70.73,66.71,-2.71%
2022-03-25,68.91,69.14,70.89,68.24,-0.33%
2022-03-24,69.14,72.59,72.8,68.84,-4.75%
2022-03-23,72.59,69.56,72.85,69.56,4.36%
2022-03-22,69.56,70.78,72.2,68.11,-1.72%
2022-03-21,70.78,71.81,72,68.91,2.45%
2022-03-18,69.09,67.78,69.49,67.33,1.93%
2022-03-17,67.78,59.35,69.54,59.35,14.20%
2022-03-16,59.35,63.62,64.53,57.82,-6.71%
2022-03-15,63.62,65.42,65.42,62.4,-2.75%
2022-03-14,65.42,68.57,68.57,62.58,-3.81%
2022-03-11,68.01,67.34,68.72,61.01,0.99%
2022-03-10,67.34,73.25,74.14,66.76,-8.07%
2022-03-09,73.25,75.82,75.82,65.55,-3.39%
2022-03-08,75.82,78.91,86.67,75.2,-3.92%
2022-03-07,78.91,77.29,82.14,77.29,2.10%
2022-03-04,77.29,64.37,78.79,64.37,20.07%
2022-03-03,64.37,61.53,64.37,61.53,4.62%
2022-03-02,61.53,61.43,67.38,57.74,0.16%
2022-03-01,61.43,52.5,63.93,52.5,17.01%
2022-02-28,52.5,49.73,61.52,47.32,6.06%
2022-02-25,49.5,49.04,52.91,44.45,0.94%
2022-02-24,49.04,50.51,56.05,48.99,-2.91%
2022-02-23,50.51,50.11,52.52,48.84,0.80%
2022-02-22,50.11,53.39,54.02,47.2,-3.65%
2022-02-18,52.01,53.14,54.93,48.68,-2.13%
2022-02-17,53.14,49.38,58.35,48.12,7.61%
2022-02-16,49.38,48.36,50.98,45.47,2.11%
2022-02-15,48.36,48.83,50.97,47.27,-0.96%
2022-02-14,48.83,50.67,52.95,46.11,2.93%
2022-02-11,47.44,43.81,50.53,37.79,8.29%
2022-02-10,43.81,39.4,46.43,36.46,11.19%
2022-02-09,39.4,41.26,45.47,33.33,-4.51%
2022-02-08,41.26,43.34,47.52,37.57,-4.80%
2022-02-07,43.34,47.17,47.18,42.02,-1.23%
2022-02-04,43.88,42.15,47.35,40.51,4.10%
2022-02-03,42.15,41.86,47.06,37.37,0.69%
2022-02-02,41.86,41.31,58.4,41.31,1.33%
2022-02-01,41.31,42.35,50.36,39.6,-2.46%
2022-01-31,42.35,47.74,50.04,42.08,-11.29%
2022-01-28,47.74,46.9,48.6,41.07,1.79%
2022-01-27,46.9,45.67,51.5,41.63,2.69%
2022-01-26,45.67,47.63,59.17,42.55,-4.12%
2022-01-25,47.63,47.84,53.07,45.6,-0.44%
2022-01-24,47.84,50.82,53.37,43.52,12.38%
2022-01-21,42.57,41.15,52.13,38.31,3.45%
2022-01-20,41.15,42.75,46.84,36.31,-3.74%
2022-01-19,42.75,42.28,48.33,38.8,1.11%
2022-01-18,42.28,47.82,51.16,38.93,2.67%
2022-01-14,41.18,37.11,43.47,37.11,10.97%
2022-01-13,37.11,34.39,43.85,33.53,7.91%
2022-01-12,34.39,34.31,39.49,31.77,0.23%
2022-01-11,34.31,37.65,41.23,33.79,-8.87%
2022-01-10,37.65,42.67,42.67,36.7,1.76%
2022-01-07,37,36.86,37.68,33.63,0.38%
2022-01-06,36.86,44.49,44.49,34.76,-17.15%
2022-01-05,44.49,39.48,46.95,33.54,12.69%
2022-01-04,39.48,37.57,43.13,33.75,5.08%
2022-01-03,37.57,42.62,44.56,36.5,-11.85%
